ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
2001,1001,Dec-01,Running Shoes,Pro 863,Running Shoes designed for sports and outdoor activities.,Orange,44,Premium,204.67,311.51
2002,1002,Dec-02,Running Apparel,Pro 109,Running Apparel designed for sports and outdoor activities.,Black,XL,Sport,300.19,457.9
2003,1003,Dec-03,Hydration Packs,Active 864,Hydration Packs designed for sports and outdoor activities.,Green,One Size,Sport,130.26,225.43
2004,1004,Dec-04,GPS Watches,Plus 388,GPS Watches designed for sports and outdoor activities.,White,38,Standard,364.03,551.54
2005,1005,Dec-05,Running Socks,Plus 177,Running Socks designed for sports and outdoor activities.,White,M,Pro,337.71,470.84
2006,1006,Dec-06,Hiking Shoes,Elite 370,Hiking Shoes designed for sports and outdoor activities.,Blue,M,Premium,14.64,22.53
2007,1007,Dec-07,Trekking Backpacks,Active 723,Trekking Backpacks designed for sports and outdoor activities.,White,40,Standard,421.9,724.57
2008,1008,Dec-08,Trekking Poles,Pro 784,Trekking Poles designed for sports and outdoor activities.,Orange,One Size,Standard,282.11,492.02
2009,1009,Dec-09,Camping Tents,X 764,Camping Tents designed for sports and outdoor activities.,Black,44,Premium,172.69,344.66
2010,1010,Dec-10,Sleeping Bags,Core 560,Sleeping Bags designed for sports and outdoor activities.,Red,One Size,Elite,222.49,444.11
2011,1011,Dec-11,Mountain Bikes,Plus 193,Mountain Bikes designed for sports and outdoor activities.,White,42,Sport,427.94,709.39
2012,1012,Dec-12,Road Bikes,Plus 357,Road Bikes designed for sports and outdoor activities.,Green,XS,Premium,206.21,301.86
2013,1013,Dec-13,Cycling Helmets,Plus 825,Cycling Helmets designed for sports and outdoor activities.,Navy,38,Pro,472.59,783.84
2014,1014,Dec-14,Cycling Jerseys,Elite 709,Cycling Jerseys designed for sports and outdoor activities.,Orange,40,Elite,279.49,502.73
2015,1015,Dec-15,Bike Accessories,Active 469,Bike Accessories designed for sports and outdoor activities.,White,S,Standard,407.94,539.2
2016,1016,Dec-16,Dumbbells,Elite 513,Dumbbells designed for sports and outdoor activities.,Green,M,Standard,68.44,125.84
2017,1017,Dec-17,Resistance Bands,Active 505,Resistance Bands designed for sports and outdoor activities.,Orange,40,Sport,332.16,606.52
2018,1018,Dec-18,Yoga Mats,Active 161,Yoga Mats designed for sports and outdoor activities.,Black,One Size,Standard,138.78,262.18
2019,1019,Dec-19,Kettlebells,Active 210,Kettlebells designed for sports and outdoor activities.,Orange,42,Standard,476.25,624.09
2020,1020,Dec-20,Exercise Bikes,Active 850,Exercise Bikes designed for sports and outdoor activities.,Black,XL,Elite,99.39,187.94
2021,1021,Dec-21,Football Boots,Core 768,Football Boots designed for sports and outdoor activities.,Grey,44,Pro,167.35,324.22
2022,1022,Dec-22,Footballs,Elite 892,Footballs designed for sports and outdoor activities.,Blue,S,Premium,60.48,89.81
2023,1023,Dec-23,Goalkeeper Gloves,Pro 175,Goalkeeper Gloves designed for sports and outdoor activities.,Navy,XS,Elite,272.8,392.36
2024,1024,Dec-24,Shin Guards,Elite 349,Shin Guards designed for sports and outdoor activities.,Navy,One Size,Standard,282.43,440.67
2025,1025,Dec-25,Training Cones,Elite 865,Training Cones designed for sports and outdoor activities.,Black,S,Sport,247.73,457.26
2026,1026,Dec-26,Cricket Bats,Active 630,Cricket Bats designed for sports and outdoor activities.,White,42,Pro,33.95,45.84
2027,1027,Dec-27,Cricket Balls,Elite 145,Cricket Balls designed for sports and outdoor activities.,Grey,L,Sport,315.7,461.27
2028,1028,Dec-28,Batting Gloves,Elite 107,Batting Gloves designed for sports and outdoor activities.,White,One Size,Sport,279.89,398.35
2029,1029,Dec-29,Batting Pads,Plus 450,Batting Pads designed for sports and outdoor activities.,White,S,Elite,448.75,855.11
2030,1030,Dec-30,Cricket Helmets,Elite 140,Cricket Helmets designed for sports and outdoor activities.,Black,M,Sport,491.68,758.31
2031,1031,Dec-31,Badminton Rackets,Core 464,Badminton Rackets designed for sports and outdoor activities.,Green,S,Standard,26.05,37.41
2032,1032,Dec-32,Shuttlecocks,Core 115,Shuttlecocks designed for sports and outdoor activities.,White,40,Sport,105.68,163.63
2033,1033,Dec-33,Grip Tapes,Elite 177,Grip Tapes designed for sports and outdoor activities.,Blue,L,Elite,145.01,211.43
2034,1034,Dec-34,Badminton Shoes,X 354,Badminton Shoes designed for sports and outdoor activities.,Grey,38,Standard,87.6,135.46
2035,1035,Dec-35,Badminton Net Sets,Core 102,Badminton Net Sets designed for sports and outdoor activities.,Blue,42,Standard,441.3,573.76
2036,1036,Dec-36,Tennis Rackets,Active 330,Tennis Rackets designed for sports and outdoor activities.,Black,S,Pro,232.18,318.11
2037,1037,Dec-37,Tennis Balls,X 332,Tennis Balls designed for sports and outdoor activities.,Blue,XS,Standard,411.45,703.48
2038,1038,Dec-38,Tennis Shoes,Pro 162,Tennis Shoes designed for sports and outdoor activities.,Grey,XL,Elite,306.06,399.25
2039,1039,Dec-39,Tennis Bags,X 592,Tennis Bags designed for sports and outdoor activities.,White,M,Pro,288.13,538.61
2040,1040,Dec-40,Tennis Strings,Core 266,Tennis Strings designed for sports and outdoor activities.,Green,42,Elite,43.74,63.38
2041,1041,Dec-41,Swimwear,X 614,Swimwear designed for sports and outdoor activities.,Orange,M,Premium,295.49,404.23
2042,1042,Dec-42,Swimming Goggles,Core 580,Swimming Goggles designed for sports and outdoor activities.,Black,XL,Pro,40.15,75.78
